,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
39,1,601800,中国交建,13.52,-0.23,-1.67%,2.11,110135,149491978,13.75,13.78,13.79,13.50,-,-,-,-,-,-,-,-,0.00%,1.38,0.09,13.98
40,1,601881,中国银河,11.11,-0.19,-1.68%,2.74,244640,271392592,11.30,11.27,11.29,10.98,-,-,-,-,-,-,-,-,0.54%,1.57,4.08,24.97
41,1,600958,东方证券,15.11,-0.26,-1.69%,2.15,151281,229642467,15.37,15.37,15.40,15.07,-,-,-,-,-,-,-,-,0.20%,1.26,0.48,26.79
42,1,600111,北方稀土,13.22,-0.25,-1.86%,3.12,457447,606210416,13.47,13.47,13.54,13.12,-,-,-,-,-,-,-,-,0.08%,1.03,1.26,103.18
43,1,600104,上汽集团,31.11,-0.60,-1.89%,2.62,244052,762360336,31.71,31.71,31.80,30.97,-,-,-,-,-,-,-,-,0.16%,1.42,0.22,11.06
44,1,601336,新华保险,62.50,-1.22,-1.91%,2.18,91108,572267376,63.72,63.70,63.74,62.35,-,-,-,-,-,-,-,-,-0.18%,0.61,0.44,29.00
45,1,600837,海通证券,13.72,-0.30,-2.14%,2.57,287106,396448448,14.02,14.03,14.05,13.69,-,-,-,-,-,-,-,-,0.00%,1.59,0.35,19.26
46,1,601628,中国人寿,30.14,-0.92,-2.96%,2.90,178064,540952336,31.06,30.98,31.00,30.10,-,-,-,-,-,-,-,-,-0.10%,1.38,0.09,23.82
47,1,600340,华夏幸福,31.17,-1.03,-3.20%,3.35,257565,812077840,32.20,32.09,32.10,31.02,-,-,-,-,-,-,-,-,0.19%,1.58,0.87,11.09
48,1,601688,华泰证券,18.25,-0.69,-3.64%,3.96,520367,959778240,18.94,18.97,18.98,18.23,-,-,-,-,-,-,-,-,-0.33%,1.59,0.96,20.83
49,1,600309,万华化学,-,-,-,-,-,-,37.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.96
