,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
39,1,601800,中国交建,13.38,-0.03,-0.22%,0.67,32841,43921908,13.41,13.39,13.43,13.34,-,-,-,-,-,-,-,-,0.00%,0.57,0.03,13.84
40,1,601390,中国中铁,8.53,-0.02,-0.23%,0.70,83457,71275079,8.55,8.56,8.58,8.52,-,-,-,-,-,-,-,-,0.00%,0.61,0.05,13.24
41,1,600340,华夏幸福,30.88,-0.09,-0.29%,0.74,62797,193843724,30.97,30.90,30.99,30.76,-,-,-,-,-,-,-,-,-0.06%,0.65,0.21,10.99
42,1,600518,康美药业,21.48,-0.07,-0.32%,1.25,60629,130581275,21.55,21.55,21.65,21.38,-,-,-,-,-,-,-,-,-0.19%,0.89,0.14,25.29
43,1,601186,中国铁建,11.44,-0.05,-0.44%,0.78,103207,117885571,11.49,11.46,11.47,11.38,-,-,-,-,-,-,-,-,0.09%,0.79,0.09,11.07
44,1,601006,大秦铁路,8.75,-0.04,-0.46%,0.68,162972,142750002,8.79,8.79,8.79,8.73,-,-,-,-,-,-,-,-,0.00%,1.06,0.11,8.68
45,1,600111,北方稀土,13.32,-0.07,-0.52%,1.12,177905,237001754,13.39,13.41,13.41,13.26,-,-,-,-,-,-,-,-,0.00%,0.63,0.49,103.96
46,1,601669,中国电建,7.35,-0.04,-0.54%,0.68,40838,30036375,7.39,7.37,7.39,7.34,-,-,-,-,-,-,-,-,0.00%,0.58,0.04,14.82
47,1,600547,山东黄金,30.48,-0.21,-0.68%,1.24,87803,267249712,30.69,30.61,30.65,30.27,-,-,-,-,-,-,-,-,-0.10%,0.97,0.60,47.45
48,1,603993,洛阳钼业,6.54,-0.05,-0.76%,2.88,519835,342204832,6.59,6.60,6.68,6.49,-,-,-,-,-,-,-,-,0.15%,0.68,0.40,66.03
49,1,600309,万华化学,-,-,-,-,-,-,37.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.96
